#Lattice_param_density Metal ECN ECN_time_variance L_ave L_ave_time_variance Distortion Distortion_time_variance
a13p7_d6p01 Sn 2.89938 0.0661773 2.15622 0.0020397 0.0119949 0.00020363
a13p9_d5p75 Sn 2.86702 0.0544463 2.1531 0.00181421 0.0108324 0.00017061
a14p1_d5p51 Sn 2.86306 0.0543204 2.15148 0.00186601 0.0101796 0.000163069
a14p3_d5p28 Sn 2.85097 0.0505648 2.15368 0.00174533 0.0100615 0.00015689
a14p5_d5p06 Sn 2.84105 0.0466108 2.15306 0.00171166 0.0091519 0.000137011
a14p7_d4p86 Sn 2.82851 0.0446961 2.15206 0.00165364 0.00904964 0.00013482
a14p9_d4p67 Sn 2.82881 0.0399667 2.15146 0.00157779 0.00866721 0.000124687
a15p1_d4p48 Sn 2.82616 0.0387446 2.15063 0.00153386 0.00827407 0.000116138
a15p3_d4p31 Sn 2.82383 0.0369408 2.15032 0.00152614 0.00793524 0.000108716
a15p5_d4p15 Sn 2.82496 0.0383292 2.15014 0.00148432 0.00824645 0.00011348
a15p7_d3p99 Sn 2.81554 0.0340936 2.14888 0.00145996 0.00774922 0.000101241
a15p9_d3p84 Sn 2.81401 0.0418221 2.14942 0.00154522 0.00843093 0.000119207
a16p1_d3p70 Sn 2.79536 0.0342796 2.14587 0.00145844 0.00784677 0.000103106
a16p3_d3p57 Sn 2.80524 0.0385113 2.1469 0.00149923 0.00790447 0.000104777
a16p5_d3p44 Sn 2.82175 0.0358721 2.1486 0.00142591 0.00785596 0.000105104
a16p9_d3p20 Sn 2.81371 0.0342442 2.14614 0.00139792 0.00762281 9.72526e-05
a17p3_d2p98 Sn 2.8106 0.0362774 2.14615 0.00144179 0.00779059 0.000101673
a17p7_d2p78 Sn 2.80216 0.0417005 2.14551 0.00151275 0.00824855 0.000113717
a18p1_d2p60 Sn 2.80229 0.0401878 2.14523 0.00146496 0.0082677 0.000113328
