#Initial_density ZeroPressure_density ECN(Sn-O) TV L_ave(Sn-O) TV sigma2 TV
a13p7_d6p01 6.002530585673696 2.87398 0 2.07779 0 0.00608998 0
a13p7_d6p01 6.002530585673696 2.94563 0 2.08509 0 0.00639722 0
a13p7_d6p01 6.002530585673696 2.8465 0 2.07145 0 0.00473106 0
a13p7_d6p01 6.002530585673696 2.91661 0 2.04504 0 0.00619909 0
a13p7_d6p01 6.002530585673696 2.89519 0 2.08397 0 0.0052116 0
a13p7_d6p01 6.002530585673696 2.98011 0 2.07107 0 0.00573628 0
a13p7_d6p01 6.002530585673696 2.92609 0 2.08428 0 0.00519633 0
a13p7_d6p01 6.002530585673696 2.91202 0 2.06556 0 0.00690774 0
a13p7_d6p01 6.002530585673696 2.82972 0 2.06283 0 0.00748483 0
a13p7_d6p01 6.002530585673696 2.90153 0 2.07205 0 0.00559077 0
a13p9_d5p75 5.05708676797158 2.89591 0 2.15524 0 0.00332763 0
a13p9_d5p75 5.0284628262380116 2.93295 0 2.15438 0 0.00452084 0
a13p9_d5p75 5.747138752393327 2.89675 0 2.08271 0 0.00686649 0
a13p9_d5p75 5.747138752393327 2.90679 0 2.10484 0 0.00792303 0
a13p9_d5p75 5.747138752393327 2.86539 0 2.09264 0 0.0047463 0
a13p9_d5p75 5.747138752393327 2.86013 0 2.08597 0 0.00719133 0
a13p9_d5p75 5.051964746289652 2.96054 0 2.15892 0 0.00474384 0
a13p9_d5p75 5.747138752393327 2.9426 0 2.10403 0 0.00460775 0
a13p9_d5p75 5.747138752393327 2.87745 0 2.10178 0 0.00654878 0
a13p9_d5p75 5.747138752393327 2.8746 0 2.11315 0 0.00617884 0
a14p1_d5p51 5.506032178363323 2.87952 0 2.10813 0 0.00733707 0
a14p1_d5p51 5.239909819844611 2.97581 0 2.16612 0 0.00538338 0
a14p1_d5p51 4.965248886104968 2.90603 0 2.15436 0 0.00368222 0
a14p1_d5p51 5.506032178363323 2.93796 0 2.12027 0 0.00461841 0
a14p1_d5p51 5.506032178363323 2.88439 0 2.09746 0 0.00531377 0
a14p1_d5p51 5.506032178363323 2.85887 0 2.09763 0 0.00688903 0
a14p1_d5p51 5.202297773829255 2.93492 0 2.16458 0 0.00402612 0
a14p1_d5p51 5.216972119621944 2.9652 0 2.16494 0 0.00681177 0
a14p1_d5p51 5.506032178363323 2.8825 0 2.11023 0 0.00674155 0
a14p1_d5p51 5.506032178363323 2.95406 0 2.08945 0 0.00418631 0
a14p3_d5p28 5.278225867410827 2.85993 0 2.11214 0 0.00553929 0
a14p3_d5p28 4.860982589201004 2.91562 0 2.15169 0 0.00384161 0
a14p3_d5p28 5.278225867410827 2.9181 0 2.09917 0 0.00636575 0
a14p3_d5p28 5.278225867410827 2.94511 0 2.12691 0 0.00410409 0
a14p3_d5p28 5.278225867410827 2.87592 0 2.11264 0 0.0056815 0
a14p3_d5p28 5.278225867410827 2.88803 0 2.10566 0 0.00445403 0
a14p3_d5p28 5.278225867410827 2.93394 0 2.1228 0 0.00550813 0
a14p3_d5p28 5.0765848029978535 2.93366 0 2.15539 0 0.00658403 0
a14p3_d5p28 5.278225867410827 2.91352 0 2.13239 0 0.00623526 0
a14p3_d5p28 5.278225867410827 2.93993 0 2.14811 0 0.00703163 0
a14p5_d5p06 5.0628152131088 2.91805 0 2.13705 0 0.00709573 0
a14p5_d5p06 5.0628152131088 2.90214 0 2.15385 0 0.00559651 0
a14p5_d5p06 5.0628152131088 2.8717 0 2.1291 0 0.00507517 0
a14p5_d5p06 5.0628152131088 2.88789 0 2.1251 0 0.00599453 0
a14p5_d5p06 5.0628152131088 2.89019 0 2.12943 0 0.00540851 0
a14p5_d5p06 5.0628152131088 2.91982 0 2.12518 0 0.00485831 0
a14p5_d5p06 5.0628152131088 2.85415 0 2.1323 0 0.00774219 0
a14p5_d5p06 5.0628152131088 2.90188 0 2.15015 0 0.00302422 0
a14p5_d5p06 5.0628152131088 2.94229 0 2.14939 0 0.00609209 0
a14p5_d5p06 4.960945141850664 2.95435 0 2.15907 0 0.0040778 0
a14p5_d5p06 5.0628152131088 2.88085 0 2.12563 0 0.00534199 0
a14p5_d5p06 5.037336943892652 2.92254 0 2.15499 0 0.00490369 0
a14p5_d5p06 4.775147643955163 2.92287 0 2.15209 0 0.00760315 0
a14p5_d5p06 5.0628152131088 2.91759 0 2.12454 0 0.00445401 0
a14p5_d5p06 5.0628152131088 2.91361 0 2.11993 0 0.00468236 0
a14p5_d5p06 5.0628152131088 2.97606 0 2.15027 0 0.00415011 0
a14p5_d5p06 5.0628152131088 2.8531 0 2.14838 0 0.00785558 0
a14p5_d5p06 5.0628152131088 2.91377 0 2.14606 0 0.00704607 0
a14p5_d5p06 5.0628152131088 2.89372 0 2.13254 0 0.00492515 0
a14p5_d5p06 5.0628152131088 2.87454 0 2.13458 0 0.00447697 0
a14p7_d4p86 4.858968447281451 2.87208 0 2.12866 0 0.00762577 0
a14p7_d4p86 4.858968447281451 2.86703 0 2.1333 0 0.00382165 0
a14p7_d4p86 4.858968447281451 2.92132 0 2.15402 0 0.00645451 0
a14p7_d4p86 4.858968447281451 2.96683 0 2.17032 0 0.00397158 0
a14p7_d4p86 4.858968447281451 2.91046 0 2.13364 0 0.00409987 0
a14p7_d4p86 4.858968447281451 2.92482 0 2.14057 0 0.00558378 0
a14p7_d4p86 4.781922368854368 2.94991 0 2.15938 0 0.00373127 0
a14p7_d4p86 4.858968447281451 2.83536 0 2.14035 0 0.00609228 0
a14p7_d4p86 4.858968447281451 2.94957 0 2.14978 0 0.00257474 0
a14p7_d4p86 4.811936614773724 2.90682 0 2.14806 0 0.00263509 0
a14p7_d4p86 4.858968447281451 2.88947 0 2.13341 0 0.00400524 0
a14p7_d4p86 4.858968447281451 2.9213 0 2.16832 0 0.00702127 0
a14p7_d4p86 4.858968447281451 2.86408 0 2.15315 0 0.00523782 0
a14p7_d4p86 4.858968447281451 2.83608 0 2.15765 0 0.00614281 0
a14p7_d4p86 4.939838891664998 2.9147 0 2.15518 0 0.00352331 0
a14p7_d4p86 4.858968447281451 2.96448 0 2.14118 0 0.00447951 0
a14p7_d4p86 4.858968447281451 2.94643 0 2.15422 0 0.0040363 0
a14p7_d4p86 4.858968447281451 2.89068 0 2.14886 0 0.00738608 0
a14p7_d4p86 4.767941490984712 2.9266 0 2.14934 0 0.00592999 0
