#Lattice param_density Normalazed_total_shared Fraction_face_shared% Fraction_edge_shared% Fraction_corner_shared%
a13p7_d6p01 2.94 .40 17.31 82.27
a13p9_d5p75 2.85 .29 15.48 84.21
a14p1_d5p51 2.80 .21 16.23 83.55
a14p3_d5p28 2.76 .23 16.43 83.33
a14p5_d5p06 2.71 .08 15.94 83.96
a14p7_d4p86 2.65 .32 16.23 83.43
a14p9_d4p67 2.63 .17 16.92 82.90
a15p1_d4p48 2.59 .35 17.26 82.37
a15p3_d4p31 2.57 .16 17.54 82.28
a15p5_d4p15 2.46 .39 17.53 82.06
a15p7_d3p99 2.54 .30 17.73 81.96
a15p9_d3p84 2.53 .41 19.26 80.31
a16p1_d3p70 2.50 .52 17.48 81.98
a16p3_d3p57 2.49 .41 18.88 80.69
a16p5_d3p44 2.51 .36 20.11 79.51
a16p9_d3p20 2.47 .50 19.83 79.65
a17p3_d2p98 2.47 .44 20.08 79.46
a17p7_d2p78 2.48 .40 20.13 79.46
a18p1_d2p60 2.45 .52 21.32 78.14
