a13p10_d6p61 3.28 .56 19.89 79.53
a13p5_d6p04 2.99 .29 19.17 80.53
a13p9_d5p53 2.79 .48 19.00 80.51
a14p1_d5p30 2.73 .38 17.92 81.68
a14p3_d5p08 2.64 .26 19.07 80.66
a14p5_d4p87 2.63 .65 18.38 80.96
a14p7_d4p68 2.58 .30 18.11 81.57
a14p9_d4p49 2.56 .36 18.49 81.13
a15p1_d4p32 2.52 .51 17.89 81.58
a15p5_d3p99 2.45 .34 18.23 81.41
a15p9_d3p70 2.42 .35 17.63 82.01
a16p3_d3p43 2.30 .52 18.03 81.44
a16p7_d3p19 2.40 .66 19.40 79.93
a17p1_d2p97 2.39 .37 20.61 79.01
a17p5_d2p77 2.38 .49 20.56 78.94
a17p9_d2p59 2.35 .45 19.84 79.70
a18p3_d2p425 2.35 .46 20.29 79.24
a18p7_d2p27 2.34 .39 20.70 78.90
a19p1_d2p13 2.36 .38 20.56 79.05

